date,rank,song,artist,last-week,peak-rank,weeks-on-board
2023-03-14,1,Last Night,Morgan Wallen,5,1,6
2023-03-14,2,Flowers,Miley Cyrus,2,1,8
2023-03-14,3,Kill Bill,SZA,3,2,13
2023-03-14,4,Die For You,The Weeknd & Ariana Grande,1,1,32
2023-03-14,5,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,4,3,5
2023-03-14,6,Creepin',"Metro Boomin, The Weeknd & 21 Savage",6,3,14
2023-03-14,7,Thought You Should Know,Morgan Wallen,13,7,30
2023-03-14,8,You Proof,Morgan Wallen,21,5,43
2023-03-14,9,Thinkin' Bout Me,Morgan Wallen,0,9,1
2023-03-14,10,One Thing At A Time,Morgan Wallen,51,10,14
2023-03-14,11,Ain't That Some,Morgan Wallen,0,11,1
2023-03-14,12,Anti-Hero,Taylor Swift,9,1,20
2023-03-14,13,Red Ruby Da Sleeze,Nicki Minaj,0,13,1
2023-03-14,14,Everything I Love,Morgan Wallen,93,14,6
2023-03-14,15,Man Made A Bar,Morgan Wallen Featuring Eric Church,0,15,1
2023-03-14,16,Unholy,Sam Smith & Kim Petras,8,1,24
2023-03-14,17,TQG,Karol G x Shakira,7,7,2
2023-03-14,18,I Wrote The Book,Morgan Wallen,64,18,6
2023-03-14,19,Calm Down,Rema & Selena Gomez,15,15,27
2023-03-14,20,Rock And A Hard Place,Bailey Zimmerman,17,16,39
2023-03-14,21,I'm Good (Blue),David Guetta & Bebe Rexha,11,4,28
2023-03-14,22,Just Wanna Rock,Lil Uzi Vert,12,10,21
2023-03-14,23,As It Was,Harry Styles,14,1,49
2023-03-14,24,Players,Coi Leray,16,16,10
2023-03-14,25,Cuff It,Beyonce,10,6,30
2023-03-14,26,Under The Influence,Chris Brown,18,12,26
2023-03-14,27,'98 Braves,Morgan Wallen,0,27,1
2023-03-14,28,Thank God,Kane Brown With Katelyn Brown,19,13,26
2023-03-14,29,Devil Don't Know,Morgan Wallen,0,29,1
2023-03-14,30,Sunrise,Morgan Wallen,0,30,1
2023-03-14,31,Lavender Haze,Taylor Swift,23,2,20
2023-03-14,32,Born With A Beer In My Hand,Morgan Wallen,0,32,1
2023-03-14,33,Escapism,RAYE Featuring 070 Shake,22,22,14
2023-03-14,34,Rich Flex,Drake & 21 Savage,20,2,18
2023-03-14,35,Whiskey Friends,Morgan Wallen,0,35,1
2023-03-14,36,"Going, Going, Gone",Luke Combs,24,23,17
2023-03-14,37,Sure Thing,Miguel,28,28,32
2023-03-14,38,Tennessee Numbers,Morgan Wallen,0,38,1
2023-03-14,39,Until I Found You,Stephen Sanchez,27,23,36
2023-03-14,40,Cowgirls,Morgan Wallen Featuring ERNEST,0,40,1
2023-03-14,41,Hope That's True,Morgan Wallen,0,41,1
2023-03-14,42,Something In The Orange,Zach Bryan,26,10,46
2023-03-14,43,Dying Man,Morgan Wallen,0,43,1
2023-03-14,44,Keith Whitley,Morgan Wallen,0,44,1
2023-03-14,45,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",30,8,14
2023-03-14,46,Snooze,SZA,32,29,13
2023-03-14,47,In The Bible,Morgan Wallen Featuring HARDY,0,47,1
2023-03-14,48,Neon Star (Country Boy Lullaby),Morgan Wallen,0,48,1
2023-03-14,49,Golden Hour,JVKE,31,10,28
2023-03-14,50,Shirt,SZA,33,11,19
2023-03-14,51,Me + All Your Reasons,Morgan Wallen,0,51,1
2023-03-14,52,I Deserve A Drink,Morgan Wallen,0,52,1
2023-03-14,53,F150-50,Morgan Wallen,0,53,1
